#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-12-10T05:56:13 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5fd1ae19b206	
#INFO	-out.max=unlimited	
#INFO	queryParameters=23	
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:J/A+A/632/A77&tab:{J/A+A/632/A77/3hsp-v9}&key:source=J/A+A/632/A77/3hsp-v9&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/632/A77/3hsp-v9
#-order=I
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=sflag
#-out=BZCat
#-out=lognu
#-out=lognufnu
#-out=f_lognu
#-out=z
#-out=f_z
#-out=Gamma
#-out=FOM
#-out=WHSP
#

#RESOURCE=yCat_36320077
#Name: J/A+A/632/A77
#Title: 3HSP blazars catalog (Chang+, 2019)
#Table	J_A_A_632_A77_3hsp-v9:
#Name: J/A+A/632/A77/3hsp-v9
#Title: The 3HSP catalog (table 1)
#Column	_RAJ2000	(A13)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A13)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(A20)	Designation (3HSPJHHMMSS.s+DDMMSS)	[ucd=meta.id;phys.atmol.configuration]
#Column	RAJ2000	(F9.5)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	sflag	(I1)	[0/4] Source Flag (1)	[ucd=meta.code]
#Column	BZCat	(A14)	BZCat counterpart (5BZ[BGU]JHHMMSS.s+DDMMSS)	[ucd=meta.id.cross]
#Column	lognu	(F4.1)	Log Synchrotron peak frequency	[ucd=em.freq;stat.max]
#Column	lognufnu	(F5.1)	Log Synchrotron peak flux (erg/cm^2^/s)	[ucd=phot.flux.density;em.gamma.hard]
#Column	f_lognu	(I1)	[1/3] Synchrotron peak estimation flag (G1)	[ucd=meta.code]
#Column	z	(F7.4)	? Redshift	[ucd=src.redshift]
#Column	f_z	(I1)	[0/5]? Redshift flag (G1) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Gamma	(A18)	Fermi gamma-ray counterpart	[ucd=meta.id.cross]
#Column	FOM	(F5.2)	Figure of Merit (G2)	[ucd=meta.code.qual]
#Column	WHSP	(A21)	2WHSP counterpart (2WHSPJHHMMSS.s+DDMMSS)	[ucd=meta.id.cross]
_RAJ2000|_DEJ2000|Name|RAJ2000|DEJ2000|sflag|BZCat|lognu|lognufnu|f_lognu|z|f_z|Gamma|FOM|WHSP
00 10 11.7000|+33 48 51.588|3HSPJ001011.1+334851|002.54875|+33.81433|0|              |15.4|-11.9|1|       | |                  | 0.50|2WHSPJ001011.7+334851
00 10 42.6696|-13 08 17.016|3HSPJ001042.7-130817|002.67779|-13.13806|1|              |15.5|-12.6|1| 0.5300|5|                  | 0.10|2WHSPJ001042.6-130817
00 12 53.8608|-16 26 56.184|3HSPJ001253.9-162656|003.22442|-16.44894|0|              |15.8|-12.3|1| 0.3500|5|                  | 0.20|2WHSPJ001253.8-162656
00 13 28.8000|+09 49 30.504|3HSPJ001328.1+094930|003.37000|+09.82514|0|              |17.3|-11.8|1| 0.2900|5|J001328.8+094929  | 0.63|2WHSPJ001328.8+094929
00 13 56.0400|-18 54 06.516|3HSPJ001356.0-185406|003.48350|-18.90181|0|5BZGJ0013-1854|17.4|-11.3|1| 0.0940|1|4FGL J0013.9-1854 | 2.00|2WHSPJ001355.9-185406
00 14 11.4504|-50 22 34.896|3HSPJ001411.5-502234|003.54771|-50.37636|0|5BZBJ0014-5022|17.5|-11.6|1| 0.0100|2|4FGL J0014.1-5022 | 1.00|2WHSPJ001411.3-502233
00 14 42.0792|+16 21 26.208|3HSPJ001442.1+162126|003.67533|+16.35728|1|              |16.5|-12.8|2| 0.5600|5|                  | 0.06|2WHSPJ001441.9+162125
00 14 42.0912|+58 02 01.212|3HSPJ001442.1+580201|003.67538|+58.03367|0|5BZBJ0014+5802|16.0|-11.7|2| 0.3500|5|4FGL J0014.7+5801 | 0.79|
00 15 27.9696|+35 36 39.600|3HSPJ001528.0+353639|003.86654|+35.61100|0|5BZBJ0015+3536|16.7|-12.0|1| 0.4300|5|4FGL J0015.2+3537 | 0.40|2WHSPJ001527.8+353638
00 15 40.1304|+55 51 44.712|3HSPJ001540.1+555144|003.91721|+55.86242|0|              |15.9|-11.2|1| 0.1500|5|4FGL J0015.6+5551 | 2.51|
00 15 41.8608|+12 18 45.504|3HSPJ001541.9+121845|003.92442|+12.31264|0|              |16.3|-12.4|1| 0.3500|5|                  | 0.16|2WHSPJ001541.8+121845
00 18 27.7896|+29 47 30.804|3HSPJ001827.8+294730|004.61579|+29.79189|0|5BZBJ0018+2947|17.1|-11.4|1| 0.1000|2|4FGL J0018.4+2946 | 1.58|2WHSPJ001827.7+294730
00 19 16.2096|+05 31 48.900|3HSPJ001916.0+053148|004.81754|+05.53025|1|              |16.0|-12.9|2| 0.4670|1|                  | 0.05|2WHSPJ001916.1+053148
00 22 00.0792|-51 40 24.204|3HSPJ002200.1-514024|005.50033|-51.67339|0|5BZBJ0022-5140|15.7|-11.2|1| 0.2500|1|4FGL J0021.9-5140 | 2.51|2WHSPJ002200.0-514023
00 22 00.9504|+00 06 57.996|3HSPJ002201.0+000658|005.50396|+00.11611|0|5BZGJ0022+0006|16.3|-11.8|1| 0.3060|1|4FGL J0022.0+0006 | 0.63|2WHSPJ002200.9+000657
00 22 09.5592|-67 05 10.392|3HSPJ002209.6-670510|005.53983|-67.08622|1|              |16.0|-12.3|2| 0.3000|5|                  | 0.20|2WHSPJ002209.4-670509
00 22 54.9600|-34 13 47.892|3HSPJ002255.0-341347|005.72900|-34.22997|0|              |15.2|-12.5|1|       | |                  | 0.13|2WHSPJ002254.8-341346
00 22 59.0304|-24 40 22.908|3HSPJ002259.0-244022|005.74596|-24.67303|0|              |15.7|-12.1|1|       | |                  | 0.32|2WHSPJ002258.9-244022
00 26 11.6208|-07 31 15.492|3HSPJ002611.6-073115|006.54842|-07.52097|0|              |15.7|-12.1|1| 0.5000|5|4FGL J0026.1-0732 | 0.32|
00 26 35.6112|-46 01 09.696|3HSPJ002635.6-460109|006.64838|-46.01936|0|5BZBJ0026-4601|16.4|-11.7|1| 0.2500|5|4FGL J0026.6-4600 | 0.79|2WHSPJ002635.5-460109
00 29 28.6008|+20 53 33.684|3HSPJ002928.1+205333|007.36917|+20.89269|0|              |16.4|-12.3|1| 0.3670|1|4FGL J0029.4+2051 | 0.20|2WHSPJ002928.6+205332
00 30 20.4192|-16 47 12.984|3HSPJ003020.4-164713|007.58508|-16.78694|0|              |15.6|-11.7|1| 0.2370|1|4FGL J0030.2-1647 | 0.79|2WHSPJ003020.4-164712
00 31 19.7088|+07 24 53.388|3HSPJ003119.1+072453|007.83212|+07.41483|0|              |15.1|-11.9|1|       | |4FGL J0031.3+0726 | 0.50|
00 31 20.5392|-23 34 01.416|3HSPJ003120.5-233401|007.83558|-23.56706|0|              |16.1|-12.1|1| 0.3000|4|4FGL J0031.0-2327 | 0.32|2WHSPJ003120.5-233400
00 31 20.7912|+05 13 33.096|3HSPJ003120.8+051333|007.83663|+05.22586|0|              |16.3|-12.1|1| 0.2200|5|                  | 0.32|2WHSPJ003120.6+051332
00 32 22.5696|-47 25 36.084|3HSPJ003222.6-472536|008.09404|-47.42669|0|              |16.3|-12.2|1| 0.4400|5|                  | 0.25|2WHSPJ003222.5-472536
00 33 22.4688|-20 39 08.208|3HSPJ003322.5-203908|008.34362|-20.65228|0|              |17.9|-11.9|1| 0.0730|1|                  | 0.50|2WHSPJ003322.3-203907
00 33 33.2496|+50 29 56.112|3HSPJ003333.2+502956|008.38854|+50.49892|1|              |16.4|-12.4|1| 0.4500|5|                  | 0.16|2WHSPJ003333.1+502956
00 33 34.3608|-19 21 32.904|3HSPJ003334.4-192132|008.39317|-19.35914|0|5BZBJ0033-1921|15.6|-11.2|1| 0.5060|3|4FGL J0033.5-1921 | 2.51|2WHSPJ003334.3-192132
00 33 58.8192|+39 06 31.716|3HSPJ003358.8+390631|008.49508|+39.10881|2|              |16.6|-12.5|1| 0.5800|5|                  | 0.13|2WHSPJ003358.7+390630
00 35 14.7096|+15 15 04.212|3HSPJ003514.1+151504|008.81129|+15.25117|0|5BZBJ0035+1515|15.1|-11.4|1| 0.6400|3|4FGL J0035.2+1514 | 1.58|2WHSPJ003514.6+151503
00 35 32.8992|-13 17 14.388|3HSPJ003532.9-131714|008.88708|-13.28733|1|              |15.5|-12.2|1|       | |                  | 0.25|2WHSPJ003532.8-131713
00 35 39.6192|-18 16 51.600|3HSPJ003539.6-181651|008.91508|-18.28100|2|              |15.4|-11.9|1| 0.3270|1|                  | 0.50|2WHSPJ003539.5-181650
00 35 52.6296|+59 50 04.308|3HSPJ003552.6+595004|008.96929|+59.83453|0|5BZBJ0035+5950|18.2|-10.3|1| 0.0860|2|4FGL J0035.9+5950 |19.95|
00 36 31.6896|-03 13 26.904|3HSPJ003631.7-031326|009.13204|-03.22414|0|              |16.5|-12.4|2| 0.3170|1|                  | 0.16|2WHSPJ003631.6-031326
00 37 36.2400|-23 02 25.584|3HSPJ003736.2-230225|009.40100|-23.04044|0|              |16.5|-12.5|2| 0.3600|5|                  | 0.13|2WHSPJ003736.1-230225
00 39 08.2104|-22 20 01.392|3HSPJ003908.2-222001|009.78421|-22.33372|0|              |16.7|-11.9|1| 0.0640|1|4FGL J0039.1-2219 | 0.50|2WHSPJ003908.2-222000
00 40 13.8096|+40 50 04.488|3HSPJ004013.1+405004|010.05754|+40.83458|0|5BZUJ0040+4050|17.5|-11.5|3| 0.2400|5|4FGL J0040.3+4050 | 1.26|2WHSPJ004013.7+405003
00 40 40.8696|-23 22 00.300|3HSPJ004040.9-232200|010.17029|-23.36675|0|              |16.1|-12.0|1| 0.1800|5|                  | 0.40|2WHSPJ004040.7-232200
00 41 23.0304|+37 58 55.704|3HSPJ004123.0+375855|010.34596|+37.98214|0|              |15.3|-12.0|1| 0.3800|1|4FGL J0041.4+3800 | 0.40|
00 41 41.2104|-16 07 47.208|3HSPJ004141.2-160747|010.42171|-16.12978|0|              |16.3|-12.5|1| 0.4300|5|4FGL J0041.7-1607 | 0.13|
00 41 43.2408|+08 33 18.504|3HSPJ004143.2+083318|010.43017|+08.55514|0|              |17.2|-12.4|1| 0.5000|5|                  | 0.16|2WHSPJ004143.1+083317
00 41 47.0208|-47 01 36.912|3HSPJ004147.0-470136|010.44592|-47.02692|0|              |17.0|-11.8|3| 0.1500|1|J004146.9-470136  | 0.63|2WHSPJ004146.9-470136
00 42 02.3808|-14 36 00.792|3HSPJ004202.4-143600|010.50992|-14.60022|0|              |16.2|-12.6|1| 0.5000|5|                  | 0.10|2WHSPJ004202.2-143559
00 42 08.1000|+36 41 12.984|3HSPJ004208.1+364113|010.53375|+36.68694|0|5BZBJ0042+3641|16.3|-11.8|1| 0.3300|5|4FGL J0042.0+3640 | 0.63|2WHSPJ004208.0+364112
00 43 22.8000|+18 08 46.104|3HSPJ004322.1+180846|010.84500|+18.14614|1|              |16.5|-12.4|1| 0.3220|1|                  | 0.16|2WHSPJ004322.8+180845
00 43 32.5392|+75 45 18.396|3HSPJ004332.5+754518|010.88558|+75.75511|1|              |16.0|-12.2|1| 0.2700|5|                  | 0.25|2WHSPJ004332.5+754517
00 43 34.1208|-04 43 00.408|3HSPJ004334.1-044300|010.89217|-04.71678|0|              |16.5|-11.8|1| 0.4800|3|4FGL J0043.5-0442 | 0.63|2WHSPJ004334.0-044300
00 43 48.6504|-11 16 06.996|3HSPJ004348.7-111607|010.95271|-11.26861|0|              |15.7|-11.6|1| 0.2640|1|4FGL J0043.7-1116 | 1.00|2WHSPJ004348.6-111606
00 45 01.5792|+05 12 15.300|3HSPJ004501.6+051215|011.25658|+05.20425|1|              |16.1|-12.5|1| 0.2700|5|                  | 0.13|2WHSPJ004501.4+051215
00 45 19.2792|+21 27 40.104|3HSPJ004519.3+212740|011.33033|+21.46114|0|5BZBJ0045+2127|15.8|-11.3|1| 0.3500|3|4FGL J0045.3+2128 | 2.00|2WHSPJ004519.2+212739
00 45 54.7704|-17 23 28.500|3HSPJ004554.8-172328|011.47821|-17.39125|1|              |16.0|-12.1|1| 0.0960|1|                  | 0.32|2WHSPJ004554.7-172327
00 46 03.2688|+40 13 46.596|3HSPJ004603.3+401346|011.51362|+40.22961|2|              |15.4|-12.9|1| 0.6700|5|                  | 0.05|2WHSPJ004603.1+401345
00 47 15.1008|-81 11 35.916|3HSPJ004715.0-811135|011.81292|-81.19331|0|              |16.6|-12.4|1| 0.3000|5|                  | 0.16|2WHSPJ004715.1-811135
00 47 52.0488|+54 47 45.996|3HSPJ004752.0+544746|011.96687|+54.79611|0|              |16.5|-12.0|1| 0.2600|5|4FGL J0047.9+5448 | 0.40|
00 47 55.2192|+39 48 57.600|3HSPJ004755.2+394857|011.98008|+39.81600|0|5BZBJ0047+3948|16.1|-11.9|1| 0.2520|1|4FGL J0047.9+3947 | 0.50|2WHSPJ004755.2+394856
00 48 59.1504|+42 23 51.108|3HSPJ004859.2+422351|012.24646|+42.39753|0|              |16.3|-12.1|1| 0.3700|5|4FGL J0049.1+4223 | 0.32|2WHSPJ004859.0+422351
00 49 27.8400|+39 50 03.912|3HSPJ004927.8+395003|012.36600|+39.83442|3|              |16.4|-12.4|1| 0.1900|5|                  | 0.16|2WHSPJ004927.7+395003
00 49 29.9304|-24 18 44.712|3HSPJ004929.9-241844|012.37471|-24.31242|0|              |16.4|-12.4|1| 0.4900|5|                  | 0.16|2WHSPJ004929.8-241843
00 49 38.8896|-41 51 37.692|3HSPJ004938.9-415137|012.41204|-41.86047|0|              |16.3|-12.0|1| 0.3800|5|4FGL J0049.5-4150 | 0.40|2WHSPJ004938.8-415137
00 50 15.4896|-46 18 11.196|3HSPJ005015.5-461811|012.56454|-46.30311|0|              |16.1|-12.5|1| 0.3300|5|                  | 0.13|2WHSPJ005015.4-461811
00 50 40.9392|-25 41 22.992|3HSPJ005040.9-254123|012.67058|-25.68972|3|              |15.4|-12.2|1| 0.7770|2|                  | 0.25|2WHSPJ005040.9-254122
00 50 48.5496|-34 28 50.916|3HSPJ005048.5-342850|012.70229|-34.48081|0|              |16.1|-12.5|1| 0.3200|5|                  | 0.13|2WHSPJ005048.4-342850
00 51 16.6200|-62 42 04.284|3HSPJ005116.6-624204|012.81925|-62.70119|0|5BZBJ0051-6242|15.8|-11.4|1| 0.3000|3|4FGL J0051.2-6242 | 1.58|2WHSPJ005116.6-624203
00 52 35.4408|-57 46 36.300|3HSPJ005235.4-574636|013.14767|-57.77675|1|              |16.1|-12.2|1| 0.2560|1|                  | 0.25|2WHSPJ005235.4-574636
00 53 47.7408|-66 45 17.784|3HSPJ005347.7-664517|013.44892|-66.75494|0|              |17.0|-11.8|2| 0.3100|5|                  | 0.63|
00 54 10.0608|+47 36 11.196|3HSPJ005410.1+473611|013.54192|+47.60311|1|              |16.7|-12.3|1| 0.5000|5|                  | 0.20|2WHSPJ005410.0+473611
00 54 25.4304|-36 11 31.884|3HSPJ005425.4-361131|013.60596|-36.19219|1|              |16.2|-12.5|1| 0.3100|5|                  | 0.13|2WHSPJ005425.3-361130
00 54 46.7400|-24 55 28.992|3HSPJ005446.7-245529|013.69475|-24.92472|0|5BZBJ0054-2455|15.7|-11.3|1| 0.1200|3|4FGL J0054.7-2455 | 2.00|2WHSPJ005446.6-245528
00 54 59.9088|-35 19 17.400|3HSPJ005459.1-351917|013.74962|-35.32150|0|              |15.1|-12.4|1| 0.0570|2|                  | 0.16|
00 55 42.7008|+45 07 01.416|3HSPJ005542.1+450701|013.92792|+45.11706|0|              |15.0|-12.5|3| 0.4600|5|4FGL J0055.7+4507 | 0.13|
00 55 53.5800|+12 17 33.792|3HSPJ005553.6+121733|013.97325|+12.29272|1|              |16.1|-12.4|1| 0.2900|5|                  | 0.16|2WHSPJ005553.5+121733
00 56 20.0592|-09 36 30.600|3HSPJ005620.1-093630|014.08358|-09.60850|0|5BZGJ0056-0936|15.9|-11.6|1| 0.1000|1|4FGL J0056.3-0935 | 1.00|2WHSPJ005619.9-093629
00 57 58.3800|+63 26 39.300|3HSPJ005758.4+632639|014.49325|+63.44425|0|              |16.8|-11.6|1| 0.1800|5|4FGL J0057.9+6326 | 1.00|
00 58 08.2008|-00 24 17.712|3HSPJ005808.0-002417|014.53417|-00.40492|0|              |16.2|-12.8|1| 0.6000|4|                  | 0.06|
00 58 13.7904|-14 29 29.112|3HSPJ005813.8-142929|014.55746|-14.49142|0|              |16.7|-12.4|1| 0.3000|4|                  | 0.16|2WHSPJ005813.6-142929
00 58 16.7808|+17 23 13.488|3HSPJ005816.8+172313|014.56992|+17.38708|0|5BZBJ0058+1723|17.4|-12.0|1| 0.4200|5|J005816.6+172312  | 0.40|2WHSPJ005816.6+172312
00 59 16.9200|-01 50 17.484|3HSPJ005916.9-015017|014.82050|-01.83819|0|5BZGJ0059-0150|17.7|-11.7|1| 0.1140|1|4FGL J0059.3-0152 | 0.79|2WHSPJ005916.9-015017
00 59 31.4688|-35 10 49.116|3HSPJ005931.5-351049|014.88112|-35.18031|0|              |16.3|-12.0|1| 0.3100|4|4FGL J0059.5-3512 | 0.40|
01 00 10.7208|-02 34 51.600|3HSPJ010010.7-023451|015.04467|-02.58100|1|              |16.8|-12.2|1| 0.1990|1|                  | 0.25|2WHSPJ010010.6-023450
01 01 16.2696|+27 30 57.996|3HSPJ010116.3+273058|015.31779|+27.51611|1|              |16.7|-12.7|1| 0.5000|5|                  | 0.08|2WHSPJ010116.2+273057
01 01 42.0096|-54 55 47.388|3HSPJ010142.0-545547|015.42504|-54.92983|0|              |16.0|-12.5|1| 0.2800|5|4FGL J0101.7-5455 | 0.13|
01 02 50.9400|-20 01 58.116|3HSPJ010250.9-200158|015.71225|-20.03281|0|              |16.3|-12.2|1| 0.2700|2|4FGL J0102.7-2001 | 0.25|2WHSPJ010250.8-200158
01 03 25.8888|+53 37 13.404|3HSPJ010325.9+533713|015.85787|+53.62039|0|              |16.5|-11.8|1| 0.1500|5|4FGL J0103.5+5337 | 0.63|
01 03 25.9992|+15 26 24.684|3HSPJ010326.0+152624|015.85833|+15.44019|1|5BZGJ0103+1526|15.0|-12.2|2| 0.2460|1|4FGL J0103.5+1526 | 0.25|
01 03 53.2200|+35 13 22.692|3HSPJ010353.2+351322|015.97175|+35.22297|1|              |16.1|-12.4|1| 0.4500|5|                  | 0.16|2WHSPJ010353.2+351322
01 05 01.8696|+50 33 20.016|3HSPJ010501.9+503320|016.25779|+50.55556|0|              |16.6|-12.1|1| 0.2600|5|                  | 0.32|2WHSPJ010501.8+503320
01 05 28.1208|-17 12 22.284|3HSPJ010528.1-171222|016.36717|-17.20619|0|              |16.8|-12.4|1| 0.1470|1|                  | 0.16|2WHSPJ010528.0-171221
01 05 47.1888|+39 39 22.104|3HSPJ010547.2+393922|016.44662|+39.65614|0|              |16.3|-12.3|1| 0.4500|5|                  | 0.20|2WHSPJ010547.0+393921
01 09 56.5704|-40 20 50.892|3HSPJ010956.6-402050|017.48571|-40.34747|0|              |16.5|-11.9|1| 0.3130|1|4FGL J0110.0-4019 | 0.50|2WHSPJ010956.5-402049
01 10 04.8096|+41 49 50.808|3HSPJ011004.1+414950|017.52004|+41.83078|0|5BZGJ0110+4149|15.9|-11.9|1| 0.0960|1|                  | 0.50|2WHSPJ011004.7+414950
01 10 09.7296|+04 24 20.412|3HSPJ011009.7+042420|017.54054|+04.40567|1|              |16.5|-12.7|2| 0.3930|1|                  | 0.08|2WHSPJ011009.7+042420
01 10 49.9800|-12 55 03.504|3HSPJ011050.0-125503|017.70825|-12.91764|0|5BZBJ0110-1255|17.2|-11.6|1| 0.2300|1|4FGL J0110.7-1254 | 1.00|2WHSPJ011049.9-125503
01 11 30.1896|+05 36 27.108|3HSPJ011130.2+053627|017.87579|+05.60753|0|5BZBJ0111+0536|17.0|-11.9|2| 0.3460|1|4FGL J0111.4+0534 | 0.50|2WHSPJ011130.1+053626
01 12 31.3992|-75 06 17.784|3HSPJ011231.4-750617|018.13083|-75.10494|3|              |15.8|-12.2|1| 0.3000|5|4FGL J0112.8-7506 | 0.25|2WHSPJ011231.3-750616
01 12 32.7600|-32 01 41.808|3HSPJ011232.8-320141|018.13650|-32.02828|0|5BZBJ0112-3201|16.4|-12.3|1| 0.4800|4|                  | 0.20|2WHSPJ011232.6-320141
01 13 14.3208|-19 08 07.800|3HSPJ011314.3-190807|018.30967|-19.13550|2|              |15.1|-12.5|1|       | |                  | 0.13|2WHSPJ011314.2-190807
01 15 01.7208|-34 00 27.216|3HSPJ011501.7-340027|018.75717|-34.00756|0|5BZBJ0115-3400|17.9|-11.6|1| 0.4820|1|4FGL J0114.9-3400 | 1.00|2WHSPJ011501.6-340027
01 15 33.3600|-03 03 33.516|3HSPJ011533.4-030333|018.88900|-03.05931|1|              |16.0|-12.8|2| 0.5360|1|                  | 0.06|2WHSPJ011533.3-030333
